Description,Discount_Price,Price,Metal,Metal Color,Stones,Length,Bracelet Length,Adjustable Length,"7"" Length. Pearl Sizes","7"" Length. Pearl Size",Size,Bolo Chain Max Length,Adjustable String,Bracelet Width,Width,"75"" Thickness",Top Width,Adjustable Chain,Thickness,Top Diameter,Adjustable Bolo Chain. Anchor Length,"5""  Width",Hinged Closure. Width,Size 7. Hinged Closure. Top Width,Hinged Closure. Top Width,Adjustable length,Information,Jewelry_Type,Sex
"Effy 14K Yellow Gold Tanzanite and Diamond Bracelet, 2.68 TCW",8050.0,11500.0,14K Gold,Yellow,"Trillion Tanzanite 2.28, Round Diamond 0.4","7.5""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Bracelet, 11.01 TCW",5246.5,7495.0,14K Gold,Yellow,"Oval Emerald 10.69, Round Diamond 0.32","7""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Tanzanite Royale Sterling Silver Tanzanite Bracelet, 7.45 TCW",295.0,550.0,Sterling Silver,N/A,Trillion Tanzanite 7.45,"7""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Pave Rose 14K Gold Diamond Bangle, 1.49 TCW",6825.0,9750.0,14K Gold,Rose,Round Diamond 1.49,,,,,,,,,,"1.25""",,,,,,,,,,,,,Bracelets,Women
"Effy Watercolors 14K White Gold Multi Sapphire & Diamond Bracelet, 7.66 TCW",8396.5,11995.0,14K Gold,White,"Square Multi Sapphire 6.18, Round Diamond 1.48","7""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Tanzanite Royale 14K Gold Tanzanite & Diamond Bracelet, 12.10 TCW",7350.0,10500.0,14K Gold,White,"Trillion Tanzanite 11.4, Round Diamond 0.7","7.5""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Tanzanite Royale Sterling Silver Tanzanite Tennis Bracelet, 11.40 TCW",695.0,,Sterling Silver,N/A,Trillion Tanzanite 11.4,"7.25""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Signature 14K White Gold Emerald and Diamond Panther Bangle, 3.87 TCW",15816.5,22595.0,14K Gold,White,"Round Diamond 3.8, Round Emerald 0.07,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
Effy 14K Yellow Gold Multi Color Cultured Pearl Bracelet,136.5,195.0,14K Gold,Yellow,Round Pearl,"7.5""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 925 Sterling Silver Diamond Accented Bracelet, 0.17 TCW",735.0,1050.0,Sterling Silver,N/A,Round Diamond 0.17,"6.5"" Adjustable to 10""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 925 Sterling Silver & 18K Gold Diamond Accented Bangle, 0.07 TCW",1046.5,1495.0,Sterling Silver & 18K Gold,Yellow,"Round Diamond 0.07,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Watercolors 14K Gold Multi Sapphire and Diamond Bracelet, 8.96 TCW",3916.5,5595.0,14K Gold,Yellow,"Oval Multi Sapphire 8.72, Round Diamond 0.24","7""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 925 Sterling Silver Diamond Accent Bracelet, 0.15 TCW",696.5,995.0,Sterling Silver,N/A,"Round Diamond 0.15,Adjustable Length",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 925 Sterling Silver Diamond Panther Bracelet, 0.05 TCW",577.5,825.0,Sterling Silver,N/A,"Round Diamond 0.05,Adjustable Length",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 925 Sterling Silver Pearl with Diamond Accent Bracelet, 0.10 TCW",682.5,975.0,Sterling Silver,N/A,"Pearl, Round Diamond 0.1,Adjustable Length",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 925 Sterling Silver Diamond Duo Panther Bracelet, 0.10 TCW",766.5,1095.0,Sterling Silver,N/A,"Round Diamond 0.1,Adjustable Length",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Watercolors 14K Gold Multi Sapphire & Diamond Bracelet, 11.09 TCW",6965.0,9950.0,14K Gold,Yellow,"Marquise Multi Sapphire 10.58, Round Diamond 0.51","7.25""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Novelty 14K Rose Gold Diamond Heart Bracelet, 0.10 TCW",665.0,950.0,14K Gold,Rose,"Round Diamond 0.1,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Novelty 14K Yellow Gold Sapphire & Diamond Evil Eye Bracelet, 0.43 TCW",906.5,1295.0,14K Gold,Yellow,"Round Blue Sapphire 0.28, Round Diamond 0.15,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Novelty 14K Yellow Gold Diamond Infinity Bracelet, 0.12 TCW",626.5,895.0,14K Gold,Yellow,"Round Diamond 0.12,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Novelty 14K White Gold Diamond Infinity String Bracelet, 0.11 TCW",665.0,950.0,14K Gold,White,"Round Diamond 0.11,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Novelty 14K White Gold Sapphire Anchor String Bracelet, 0.15 TCW",556.5,795.0,14K Gold,White,"Round Blue Sapphire 0.15,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Novelty 14K Rose Gold Diamond Heart String Bracelet, 0.13 TCW",696.5,995.0,14K Gold,Rose,"Round Diamond 0.13,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 925 Sterling Silver & 18K Yellow Gold Diamond Bracelet, 2.30 TCW",1365.0,1950.0,Sterling Silver & 18K Gold,Yellow,Round Diamond 0.39,"8""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Watercolors 14K Gold Multi Sapphire and Diamond Bangle, 9.95 TCW",7350.0,10500.0,14K Gold,Yellow,"Oval Multi Sapphire 9.78, Round Diamond 0.17,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 14K White Gold Diamond Bangle, 1.46 TCW",9497.5,18995.0,14K Gold,White,Round Diamond 1.46,,,,,,,,,,,,"1.25""",,,,,,,,,,,Bracelets,Women
"Effy Men's Sterling Silver and Leather Turquoise Bracelet, 5.40 TCW",346.5,495.0,Sterling Silver,N/A,Rectangle Turquoise 5.4,"8""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Pave Classica 14K White Gold Diamond Tennis Bracelet, 1.99 TCW",5997.5,11995.0,14K Gold,White,Round Diamond 1.99,"6.75""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 925 Sterling Silver Multi Sapphire Splash Bangle, 4.23 TCW",945.0,1350.0,Sterling Silver,N/A,"Round Multi Sapphire 4.23,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Ruby Royale 14K Yellow Gold Ruby and Diamond Bangle, 6.25 TCW",6716.5,9595.0,14K Gold,Yellow,"Marquise Ruby 5.7, Round Diamond 0.55,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Duo 14K White and Yellow Gold Diamond Links Bracelet, 2.01 TCW",6296.5,8995.0,14K Gold,Yellow and White,Multi Shape Diamond 2.01,"7.5""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Ruby Royale 14K Yellow Gold Ruby and Diamond Bracelet, 12.19 TCW",3216.5,4595.0,14K Gold,Yellow,"Oval Ruby 11.97, Round Diamond 0.22","7.5""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
Effy 14K Yellow Gold Cultured Fresh Water Pearl Bracelet,770.0,1100.0,14K Gold,Yellow,Round Pearl,"8""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 925 Sterling Silver & 18K Gold Accented Diamond Bangle, 0.45 TCW",1396.5,1995.0,Sterling Silver & 14K Gold,Yellow,"Round Diamond 0.45,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Geo 14K White Gold Diamond Bangle, 1.92 TCW",6250.0,12500.0,14K Gold,White,"Round Diamond 1.92,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 925 Sterling Silver Diamond Accented Bangle, 0.35 TCW",1197.5,2395.0,Sterling Silver,N/A,"Round Diamond 0.35,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 925 Sterling Silver Onyx and Diamond Bangle, 4.26 TCW",665.0,950.0,Sterling Silver,N/A,"Cushion Onyx 4.2, Round Diamond 0.06,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 14K Rose Gold Diamond Shema Israel Bracelet, 1.25 TCW",8750.0,17500.0,14K Gold,Rose,"Round Diamond 1.25,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 14K Yellow Gold Diamond Filigree Bangle, 0.62 TCW",5497.5,10995.0,14K Gold,Yellow,"Round Diamond 0.62,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Seaside Sterling Silver Diamond Turtle Bracelet, 0.07 TCW",297.5,595.0,Sterling Silver,N/A,Round Diamond 0.07,"7.25""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Duo 14K Yellow and White Gold Diamond Bangle, 0.60 TCW",4546.5,6495.0,14K Gold,Yellow and White,"Round Diamond 0.6,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Signature 14K Rose Gold Diamond and Tsavorite Bangle, 0.79 TCW",4060.0,5800.0,14K Gold,Rose,"Round Diamond 0.75, Round Tsavorite 0.04,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Gemma 14K White Gold Natural Blue Sapphire & Diamond Bangle, 7.82 TCW",6436.5,9195.0,14K Gold,White,"Multi Shape Blue Sapphire 7.31, Round Diamond 0.51,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Royale Bleu 14K White Gold Natural Blue Sapphire & Diamond Bangle, 3.60 TCW",4196.5,5995.0,14K Gold,White,"Square Blue Sapphire 3.14, Round Diamond 0.46,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Gemma 14K Yellow Gold Emerald and Diamond Bangle, 2.97 TCW",4406.5,6295.0,14K Gold,Yellow,"Square Emerald 2.51, Round Diamond 0.46,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Bella Bleu 14K White Gold Blue and White Diamond Bangle, 1.17 TCW",5246.5,7495.0,14K Gold,White,"Round Diamond 1.17,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 925 Sterling Silver & 18K Yellow Gold Diamond Bracelet, 0.53 TCW",1536.5,2195.0,Sterling Silver & 18K Gold,Yellow,Round Diamond 0.53,"8.25""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Mosaic 14K Yellow Gold Blue Topaz, Amethyst, Citrine & Diamond Bangle",6250.0,12500.0,14K Gold,Yellow,"Multi Shape Multi Color 27.15, Round Diamond 0.23",,,,,,,,,,,,,,,,,,"3/4""",,,,,Bracelets,Women
"Effy Bouquet 14K White Gold Diamond Clusters Tennis Bracelet, 3.14 TCW",6926.5,9895.0,14K Gold,White,Round Diamond 3.14,"7""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Brasilica 14K Yellow Gold Emerald & Diamond Tennis Bracelet, 9.56 TCW",3076.5,4395.0,14K Gold,Yellow,"Oval Emerald 9.31, Round Diamond 0.25","7.5""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Watercolors 14K Yellow Gold Multi Sapphire & Diamond Bangle, 3.60 TCW",4196.5,5995.0,14K Gold,Yellow,"Square Multi Sapphire 3.14, Round Diamond 0.46,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Mosaic 14K Yellow Gold Multi Gemstone Bracelet, 2.47 TCW",682.5,975.0,14K Gold,Yellow,Round Multi Color 2.47,"7.25""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Bella Bleu 14K Rose Gold Blue and White Diamond Bangle, 4.47 TCW",11060.0,15800.0,14K Gold,Rose,Round Diamond 4.47,,,,,,,,,,"5/16""",,,,,,,,,,,,,Bracelets,Women
"Effy D'Oro 14K Yellow Gold Diamond Filigree Bangle, 0.62 TCW",4375.0,8750.0,14K Gold,Yellow,"Round Diamond 0.62,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy D'Oro 14K Yellow Gold Diamond Bangle, 1.81 TCW",6086.5,8695.0,14K Gold,Yellow,"Multi Shape Diamond 1.81,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Gemma 14K White Gold Blue Sapphire and Diamond Bracelet, 9.16 TCW",6370.0,9100.0,14K Gold,White,"Square Blue Sapphire 8.25, Round Diamond 0.91","6.75""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 14K Yellow Gold Peridot Bangle, 2.13 TCW",,,14K Gold,Yellow,"Round Peridot 2.13,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Geo 14K Yellow Gold Oval Amethyst and Diamond Bangle, 8.57 TCW",8250.0,16500.0,14K Gold,Yellow,"Oval Amethyst 6.46, Round Diamond 2.11",,,,,,,,,,"1.13""",,,,,,,,,,,,,Bracelets,Women
"Effy Watercolors 14K Yellow Gold Sapphire and Diamond Bracelet, 11.20 TCW",4406.5,6295.0,14K Gold,Yellow,"Oval Multi Sapphire 10.83, Round Diamond 0.37","7""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Classique 14K White Gold Diamond Bangle, 1.81 TCW",5600.0,8000.0,14K Gold,White,"Baguette Diamond 1.38, Round Diamond 0.43,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy D'Oro 14K Yellow Gold Pave Diamond Bangle, 1.20 TCW",4097.5,8195.0,14K Gold,Yellow,"Round Diamond 1.2,Size 7",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Novelty 14K White Gold Sapphire & Diamond Evil Eye Bracelet, 0.43 TCW",906.5,1295.0,14K Gold,White,"Round Blue Sapphire 0.28, Round Diamond 0.15",,,"6"", 6.5"" and 7""",,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Royale Bleu 14K White Gold Blue Sapphire & Diamond Bangle, 1.47 TCW",3290.0,4700.0,14K Gold,White,"Round Blue Sapphire 1.12, Round Diamond 0.35,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy D'Oro 14K Yellow Gold Diamond Bangle, 1.01 TCW",6436.5,9195.0,14K Gold,Yellow,"Round Diamond 1.01,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 925 Sterling Silver & 18K Gold Multi Gemstone Bracelet, 3.25 TCW",910.0,1300.0,Sterling Silver & 18K Gold,Yellow,Multi Shape Multi Color 3.25,"7.5""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Signature 14K Rose Gold Diamond and Emerald Bangle, 1.05 TCW",3647.5,7295.0,14K Gold,Rose,"Round Diamond 1.03, Round Emerald 0.02,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Signature 14K Rose Gold Diamond and Emerald Bangle, 2.54 TCW",8497.5,16995.0,14K Gold,Rose,"Round Diamond 2.52, Round Emerald 0.02,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Signature 14K Rose Gold Emerald and Diamond Panther Bangle, 5.23 TCW",12050.0,24100.0,14K Gold,Rose,"Oval Emerald 2.17, Round Diamond 3.06,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Ruby Royale 14K Rose Gold Ruby and Diamond Bangle, 3.93 TCW",4896.5,6995.0,14K Gold,Rose,"Baguette Ruby 3.47, Round Diamond 0.46,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Signature 14K Rose Gold Diamond and Emerald Bangle, 2.89 TCW",8997.5,17995.0,14K Gold,Rose,"Round Diamond 2.81, Round Emerald 0.08,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Watercolors 14K Yellow Gold Multi Sapphire & Diamond Bangle, 6.02 TCW",5946.5,8495.0,14K Gold,Yellow,"Multi Shape Multi Sapphire 4.88, Round Diamond 1.14,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Signature 14K Rose Gold Diamond and Tsavorite Garnet Bracelet, 0.18 TCW",836.5,1195.0,14K Gold,Rose,"Round Diamond 0.16, Round Tsavorite 0.02,Length Adjustable from 6"" to 7.5"". Panther size"" 3/8""x3/8""",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 925 Sterling Silver Blue Sapphire Bangle, 2.18 TCW",1022.5,2045.0,Sterling Silver,N/A,Round Blue Sapphire 2.18,,,,,,,,,,,,,,,,,,,"1/2""",,,,Bracelets,Women
"Effy Signature 14K 2-Tone Gold Diamond and Emerald 7"" Bracelet, 1.35 TCW",6016.5,8595.0,14K Gold,Yellow and White,"Round Diamond 1.25, Round Emerald 0.1,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Pave Rose 14K Rose Gold Diamond Bangle, 1.05 TCW",5246.5,7495.0,14K Gold,Rose,"Round Diamond 1.05,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Gemma Blue Sapphire & Diamond Bracelet, 6.50 TCW",7897.5,15795.0,14K Gold,White,"Oval Blue Sapphire 4.08, Round Diamond 2.42","6.5""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 14K White Gold Black and White Diamond Bangle, 1.26 TCW",5386.5,7695.0,14K Gold,White,"Round Diamond 1.26,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Signature 14K Yellow Gold Diamond and Emerald Bangle, 3.46 TCW",11550.0,16500.0,14K Gold,Yellow,"Round Diamond 3.42, Round Emerald 0.04,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Pave Rose 14K Rose Gold Diamond Bangle, 1.28 TCW",4497.5,8995.0,14K Gold,Rose,Round Diamond 1.28,,,,,,,,,,,,,,,,,,,,"1.13""",,,Bracelets,Women
"Effy Signature 14K 2-Tone Gold Diamond & Emerald Bangle, 0.69 TCW",3496.5,4995.0,14K Gold,Rose and Yellow,"Round Diamond, Round Black Diamond , Round Emerald 0.05,Size 7",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Espresso 14K Yellow Gold Diamond Filigree Bangle, 2.03 TCW",9450.0,13500.0,14K Gold,Yellow,"Round Diamond, Round Cognac Diamond ,Size 7",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 925 Braided Sterling Silver Blue Sapphire Bracelet, 1.48 TCW",747.5,1495.0,Sterling Silver,N/A,"Round Blue Sapphire 1.58,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 925 Classic Sterling Silver & 18K Gold Diamond Bangle, 0.28 TCW",1197.5,2395.0,Sterling Silver & 18K Gold,Yellow,Round Diamond 0.28,,,,,,,,,,,,,,,,,,"1""",,,,,Bracelets,Women
"Effy 925 Braided Sterling Silver Diamond Heart Bracelet, 0.23 TCW",976.5,1395.0,Sterling Silver,N/A,"Round Diamond 0.22,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Espresso 14K Rose Gold Cognac and White Diamond Bangle, 1.26 TCW",5246.5,7495.0,14K Gold,Rose,"Round Diamond 1.26,Size 7",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Bouquet 14K White Gold Diamond Filigree Bangle, 0.89 TCW",4675.0,9350.0,14K Gold,White,"Round Diamond 0.89,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Novelty 14K White Gold Diamond Infinity Bracelet, 0.12 TCW",696.5,995.0,14K Gold,White,Round Diamond 0.12,"Adjustable 6.5"" to 7.5""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Novelty 14K White Gold Diamond Heart Bracelet, 0.10 TCW",665.0,950.0,14K Gold,White,Round Diamond 0.1,"Adjustable 6.5"" to 7.5""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
Effy 925 Sterling Silver and 18K Gold Diamond Bangle,1247.5,2495.0,Sterling Silver & 18K Gold,Yellow,"Round Diamond 0.34,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 14K Yellow Gold Cultured Fresh Water Pearl 7"" Bracelet",136.5,195.0,14K Gold,Yellow,"Pearl,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Novelty 14K White Gold Diamond Cross Bracelet, 0.09",626.5,895.0,14K Gold,White,Round Diamond 0.09,,,,,,,,,,,,,,,,,,,,,"6.25"" to 7.5""",,Bracelets,Women
Effy 925 Sterling Silver and 18K Gold Bangle,626.5,895.0,Sterling Silver & 18K Gold,Yellow,,,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 925 Sterling Silver Cultured Pearl and Diamond Bangle, 0.01 TCW",945.0,1350.0,Sterling Silver,N/A,"Round Pearl, Round Diamond 0.01,Hinged Closure",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Novelty White Gold Black & White Diamond Evil Eye Bracelet, 0.43 TCW",1396.5,1995.0,14K Gold,White,"Round Diamond 0.43,Adjustable black string band",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 925 Sterling Silver and 18K Yellow Gold Diamond Bracelet, 0.14 TCW",945.0,1350.0,Sterling Silver & 18K Gold,Yellow,Round Diamond 0.14,"7.5""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Novelty 14K Yellow Gold Diamond Bracelet, 0.09 TCW",906.5,1295.0,14K Gold,Yellow,Round Diamond 0.09,,,"6.5"" to 7.5""",,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Watercolors 14K White Gold Multi Sapphire & Diamond Bracelet, 9.16 TCW",7136.5,10195.0,14K Gold,White,"Square Multi Sapphire 8.25, Round Diamond 0.91","7""",,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Gemma 14K Yellow Gold Natural Ruby and Diamond Bangle, 3.60 TCW",4896.5,6995.0,14K Gold,Yellow,"Square Ruby 3.14, Round Diamond 0.46,Size 7",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Trio 14K Tri-Color Gold Diamond Bangle, 1.03 TCW",5355.0,7650.0,14K Gold,Three Tone,"Round Diamond 1.03,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Watercolors 14K White Gold Multi Sapphire & Diamond Bangle, 3.60 TCW",4196.5,5995.0,14K Gold,White,"Round Diamond 0.46, Square Multi Sapphire 3.14,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Seaside 14K White Gold Sapphire & Diamond Starfish Bangle, 8.25 TCW",5876.5,8395.0,14K Gold,White,"Multi Shape Blue Sapphire 7.8, Round Diamond 0.25,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 925 Sterling Silver & 18K Gold Topaz and Amethyst Bangle, 3.32 TCW",696.5,995.0,Sterling Silver & 18K Gold,Yellow,"Oval Amethyst, Pear Blue Topaz ,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 14K White Gold Black and White Diamond Bangle, 2.13 TCW",5316.5,7595.0,14K Gold,White,"Round Diamond 2.13, Round Black Diamond ,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Bella Bleu 14K White Gold Blue and White Diamond Bangle, 2.13 TCW",6296.5,8995.0,14K Gold,White,"Round Diamond, Round Blue Diamond ,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 925 Sterling Silver and Diamond Bracelet, .04 TCW",486.5,695.0,Sterling Silver,N/A,"Round Diamond 0.04,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 925 Sterling Silver and Diamond Bracelet, .15 TCW",805.0,1150.0,Sterling Silver,N/A,"Round Diamond 0.15,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 14K White Gold Black and White Diamond Bangle, 4.47 TCW",9796.5,13995.0,14K Gold,White,"Black Diamond,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Watercolors Sapphire and Diamond Bracelet, 9.16 TCW",7136.5,10195.0,14K Gold,Yellow,"Round Diamond 0.91, Princess Sapphire 8.25,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 925 Sterling Silver & 18K Yellow Gold Diamond Bracelet, 0.35 TCW",1536.5,2195.0,Sterling Silver,N/A,"Round Diamond 0.35,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy D'Oro 14K Yellow Textured Gold Diamond Bangle, 0.56 TCW",6296.5,8995.0,14K Gold,Yellow,"Round Diamond 0.5,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Pave Classica Diamond Bangle Bracelet, 3.15 TCW",9796.5,13995.0,14K Gold,White,,,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Classique 14K White Gold Diamond Bracelet, 3.56 TCW",9096.5,12995.0,14K Gold,White,"Round Diamond 0.5, Baguette Diamond 3.06,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 925 Sterling Silver Blue and White Sapphire Splash Bangle, 9.93 TCW",1606.5,2295.0,Sterling Silver,N/A,"Sapphire 9.9,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 925 Sterling Silver & 18K Gold Accent Multi Gemstone Bangle, 1.59 TCW",906.5,1295.0,Sterling Silver & 18K Gold,Yellow,"Multi Shape Multi Color 1.59,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Sterling Silver & 18K Gold Accented Diamond Maltese Cross Bangle, 0.60 TCW",2347.5,4695.0,Sterling Silver,N/A,"Diamond 0.6,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Watercolors 14K Yellow Gold Multi Sapphire & Diamond Bangle, 7.89 TCW",5600.0,8000.0,14K Gold,Yellow,"Multi Shape Sapphire 7.64, Round Diamond 0.25,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy Watercolors 14K White Gold Multi Sapphire & Diamond Bangle, 7.89 TCW",5600.0,8000.0,14K Gold,White,"Round Diamond 0.25, Multi Shape Multi Sapphire 7.64,",,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
"Effy 925 Lagoon Sterling Silver Blue Topaz Bangle, 10.64 TCW",892.5,1785.0,Sterling Silver,N/A,Blue Topaz 10.64,,,,,,,,,,,,,,,,,,,,,,,Bracelets,Women
