Description,Discount_Price,Price,Metal,Metal Color,Stones,Length,Hoop Size,"Height 3/8"" x Length",Diameter,Earring,Drop Length,Earring Size,Stud Size,Top Diameter,Diamater,Gemstones, Length,Earring size,Information,"75"" Pearl Size","5"" Pearl Size", Widest Part, Stone included,"25"" Diameter",Earring Diameter,Earring Length,Pearl Size, Lapis Size, Drop Length, Onyx Size,Flower Diameter,Height,Screw Backs. Earring Diameter,Jewelry_Type,Sex,Snake Dimension,Top Width,Flower Dimension,Top width,Width,Top Length,Size,GAL Certified. Top Width,Panther Head Size,Setting Width,Center Stone,Top Widht,Band Width,Band Thickness,Starfish Size,Snake Length, Height,Dragon Length,Bow Length, Gemstones,Heart Size,Length Across Butterflies,Top Length Appx,Height , Contains,Bracelet Length,Adjustable Length,"7"" Length. Pearl Sizes","7"" Length. Pearl Size",Bolo Chain Max Length,Adjustable String,Bracelet Width,"75"" Thickness",Adjustable Chain,Thickness,Adjustable Bolo Chain. Anchor Length,"5""  Width",Hinged Closure. Width,Size 7. Hinged Closure. Top Width,Hinged Closure. Top Width,Adjustable length,"18"" Chain Included. Pendant Length","16""-18"" Adjustable Chain Included. Pendant Length","16""-18"" Adjustable Chain. Pendant Length","16"" Chain Included. Palm Tree Length","18"" Chain Included. Pendant Diameter","17"" Adjustable Chain Attached. Pendant Diameter","16"" Chain Included Pendant Size","16""-18"" Adjustable Chain. Drop Length","18"" Attached Chain. Pendant Length",Necklace Length, Pendant Length,"16"" Chain Included. Pendant Length","18"" Chain Attached. Pendant Length","16"" Chain Attached. Drop Length","Attached 17.5"" Chain. Pendant Length","16"" Double Chain Included. Pendant Length","17"" Attached Chain. Adjustable down to 15"" in 1/2"" increments. Cross length","18"" Chain Included with 6 Diamond sections. Pendant Diameter",Chain Included. Pendant Length,Chain Included. Pendant Diameter,Chain Included. Pendant diameter,"18"" Chain Included. Pendant Size","16"" - 18"" Adjustable Chain. Pendant Length","16"" - 18"" Adjustable Chain. Pendant Size","16"" - 18"" Adjustable Chain Included. Pendant Length","GAL Certified. 16"" Chain Included. Pendant Length","16""-18"" Adjustable Chain. Panther","16"" Length Pendant Length","18"" Chain Included (Adjustable to 16""). Pendant Diameter","18""Chain Included. Pendant Length","20"" Chain Included Pendant Size","18"" Chain Included. Bee Size","18"" Chain Included Pendant Size","18"" Chain Included. Pendantl Length","18"" Chain Included. Pearl Size","18"" Necklace. Pearl Size","Adjustable 16""-18"" Chain. Pendant Length","16"" Chain Length. Pendant Diameter","18"" Necklace. Center Size","16"" Chain Inclueded. Pendant Length",""" Panther Head","15""-18"" Adjustable Chain. Pendant Length", Buterfly height,"17.25"" Attached Chain. Diameter","16""-18"" Adjustable Chain. Snake Length", Bar Length,"18"" Necklace. Pearl Sizes","16""-18"" Adjustable Chain Included. Pendant Diameter","14"" - 18"" Adjustable Chain. Pendant Length","19"" Chain Included. Pendant Length", Pendant Drop,"17"" Attached Chain. Snake Length","18"" Necklace. Bar Length","18"" Chain Included. Flower Diameter","20"" Chain Included. Pendant Length","16"" - 18"" Adjustable Chain.Butterfly Size","16""-18"" Adjustable Chain. Pendant Diameter","18"" Chain Included. Pendant Lenght","Adjustable 18"" Pull Chain. Evil Eye Length","18"" Chain Included. Heart Length","18"" Chain Included. Size of Heart","16"" - 18"" Adjustable Chain. Butterfly Size", Necklace Length,"16""-18"" Adjustable Chain Included. Pendant Legnth","17"" Chain Included. Pendant Length","17"" Attached Chain. Pendant Length","4 Strand 18"" Necklace. Pearl Sizes",Pendant Length,"25"" Gemstone"
"Effy Bridal 14K White Gold Diamond Ring, 0.39 TCW",2516.5,3595.0,14K Gold,White,"Round Diamond 0.39,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Bridal 14K White Gold Diamond Ring, 0.53 TCW",3076.5,4395.0,14K Gold,White,"Round Diamond 0.53,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Bouquet 14K White Gold Diamond Ring, 1.16 TCW",5106.5,7295.0,14K Gold,White,"Round Diamond 1.16,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Espresso 14K Rose Gold Diamond Ring, 0.96 TCW",2656.5,3795.0,14K Gold,Rose,"Round Diamond 0.96,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Pave Classica 14K White Gold Diamond Ring, 2.18 TCW",,,14K Gold,White,Round Diamond 2.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,"9/16""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Trio 14K Tri Color Gold Diamond Ring, 0.98 TCW",3605.0,5150.0,14K Gold,Three Tone,"Round Diamond 0.98,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy 925 Sterling Silver Diamond Ring, 0.20 TCW",295.0,395.0,Sterling Silver,N/A,Round Diamond 0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,"1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Pave Classica 14K White Gold Diamond Ring, 1.90 TCW",5246.5,7495.0,14K Gold,White,"Round Diamond 1.9,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy 14K White Gold Diamond Pave Ring, 1.91 TCW",2747.5,5495.0,14K Gold,White,Round Diamond 1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,"1/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy 14K Rose Gold Diamond Dome Ring, 2.54 TCW",8396.5,11995.0,14K Gold,White,"Round Diamond 2.54,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy D'Oro 14K Yellow Gold Diamond Filigree Ring, 0.53 TCW",2026.5,2895.0,14K Gold,Yellow,"Round Diamond 0.53,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Watercolors 14K White Gold Multi Gemstone and Diamond Ring, 2.45 TCW",1886.5,2695.0,14K Gold,White,"Multi Shape Multi Color 2.29, Round Diamond 0.16",,,,,,,,,,,"Amethyst, Sapphire and Tsavorite",,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Watercolors 14K White Gold Multi Gemstone and Diamond Ring, 3.52 TCW",2586.5,3695.0,14K Gold,White,"Multi Shape Multi Color 3.38, Round Diamond 0.14",,,,,,,,,,,"Amethyst, Sapphire and Tsavorite",,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Espresso 14K Rose and White Gold Diamond Crossover Ring, 0.81 TCW",2225.0,4450.0,14K Gold,Rose and White,"Round Diamond 0.81,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Duo 14K Yellow and White Gold Diamond Ring, 1.31 TCW",3600.0,7200.0,14K Gold,Yellow and White,"Round Diamond 1.31,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Nature 14K Gold Sapphire, Tsavorite & Diamond Butterfly Ring, 3.46 TCW",1847.5,3695.0,14K Gold,White,"Multi Shape Multi Color 3.4, Round Diamond 0.06,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy D'Oro 14K Yellow Gold Diamond Knot Ring, 0.05 TCW",836.5,1195.0,14K Gold,Yellow,"Round Diamond 0.05,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Bouquet 14K White Gold Diamond Ring and Matching Band Set, 1.48 TCW",3195.0,5500.0,14K Gold,White,"Round Diamond 1.48,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Bouquet 14K White Gold Diamond Pave Ring, 0.98 TCW",2096.5,2995.0,14K Gold,White,"Round Diamond 0.98,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Pave Classica 14K White Gold Diamond Ring, 1.42 TCW",6250.0,,14K Gold,White,"Round Diamond 0.77, Baguette Diamond 0.65,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Bouquet 14K Yellow Gold Diamond Cluster Ring, 0.51 TCW",1536.5,2195.0,14K Gold,Yellow,"Round Diamond 0.51,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy D'Oro 14K Yellow Gold Diamond Vine Ring, 0.26 TCW",1886.5,2695.0,14K Gold,Yellow,"Round Diamond 0.26,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Signature Sterling Silver Double Finger Onyx Panther Ring, 0.12 TCW",346.5,495.0,Sterling Silver,N/A,"Marquise Onyx 0.12,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Duo 14K Rose and White Gold Diamond Pave Ring, 1.69 TCW",4125.0,8250.0,14K Gold,Rose and White,"Round Diamond 1.69,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Pave Classica 14K White Gold Diamond Ring, 3.14 TCW",10916.5,15595.0,14K Gold,White,"Round Diamond 3.14,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy D'Oro 14K Yellow Gold Diamond Crossover Ring, 0.18 TCW",1606.5,2295.0,14K Gold,Yellow,"Round Diamond 0.18,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy 14K White Gold 3-Stone Diamond Ring, 0.18 TCW",836.5,1195.0,14K Gold,White,"Round Diamond 0.18,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Ruby Royale 14K Rose Gold Ruby & Diamond Crossover Ring, 0.81 TCW",1886.5,2695.0,14K Gold,Rose,"Round Ruby 0.5, Round Diamond 0.21,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Royale Bleu 14K White Gold Sapphire and Diamond Ring, 0.95 TCW",1085.0,1550.0,14K Gold,White,"Square Blue Sapphire 0.86, Round Diamond 0.09,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14K White Gold Channel Set Diamond Eternity Band, 4.00 TCW",13996.5,19995.0,14K Gold,White,"Round Diamond 4,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14K White Gold Channel Set Diamond Eternity Band, 3.00 TCW",9096.5,12995.0,14K Gold,White,"Round Diamond 3,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14K White Gold Channel Set Diamond Eternity Band, 2.00 TCW",5596.5,7995.0,14K Gold,White,"Round Diamond 2,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14K White Gold Channel Set Diamond Eternity Band, 1.00 TCW",2096.5,2995.0,14K Gold,White,"Round Diamond 1,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14K White Gold Channel Set Diamond Eternity Band, 0.50 TCW",1256.5,1795.0,14K Gold,White,"Round Diamond 0.5,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14K White Gold Prong Set Diamond Eternity Band, 4.00 TCW",13996.5,19995.0,14K Gold,White,"Round Diamond 4,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14K White Gold Prong Set Diamond Eternity Band, 3.00 TCW",9096.5,12995.0,14K Gold,White,"Round Diamond 3,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14K White Gold Prong Set Diamond Eternity Band, 2.00 TCW",5596.5,7995.0,14K Gold,White,"Round Diamond 2,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14K White Gold Prong Set Diamond Eternity Band, 1.00 TCW",2096.5,2995.0,14K Gold,White,"Round Diamond 1,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14K White Gold Prong Set Diamond Eternity Band, 0.50 TCW",1046.5,1495.0,14K Gold,White,"Round Diamond 0.5,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Signature 14K Rose Gold Diamond and Garnet Panther Ring, 0.56 TCW",1676.5,2395.0,14K Gold,Rose,"Round Diamond 0.52, Round Garnet 0.04,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy 14K White Gold Diamond Geometric Ring, 0.66 TCW",1725.0,3450.0,14K Gold,White,"Round Diamond 0.66,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Trio 14K Tri Color Gold Diamond Butterfly Ring, 0.66 TCW",2306.5,3295.0,14K Gold,Three Tone,"Round Diamond 0.66,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Watercolors 14K Yellow Gold Multi Sapphire and Diamond Ring, 2.47 TCW",2695.0,3850.0,14K Gold,Yellow,"Oval Multi Sapphire 2.14, Round Diamond 0.33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy D'Oro 14K Textured Yellow Gold Diamond Accented Ring, 0.41 TCW",2656.5,3795.0,14K Gold,Yellow,Round Diamond 0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Novelty 14K White Gold Diamond Anchor Ring, 0.12 TCW",805.0,1150.0,14K Gold,White,"Round Diamond 0.12,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Seaside 14K Tri Color Gold Diamond Starfish Ring, 0.23 TCW",1116.5,1595.0,14K Gold,Three Tone,"Round Diamond 0.23,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Pave Classica 14K White Gold Diamond Fashion Ring, 0.42 TCW",1676.5,2395.0,14K Gold,White,"Multi Shape Diamond 0.42,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Trio 14K Tri Color Gold Diamond Braid Ring, 0.29 TCW",1575.0,2250.0,14K Gold,Three Tone,"Round Diamond 0.29,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Espresso 14K Rose Gold Espresso and White Diamond Ring, 0.93 TCW",3146.5,4495.0,14K Gold,Rose,"Round Diamond 0.93,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Royale Bleu 14K White Gold Sapphire and Diamond Ring, 0.70 TCW",1015.0,1450.0,14K Gold,White,"Oval Blue Sapphire 0.57, Round Diamond 0.13,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy 14K White Gold Trillion Tanzanite and Diamond Ring, 0.96 TCW",1396.5,1995.0,14K Gold,White,"Trillion Tanzanite 0.76, Round Diamond 0.2,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy D'Oro 14K Yellow Gold Diamond Accented Crown Ring, 0.41 TCW",1886.5,2695.0,14K Gold,Yellow,"Multi Shape Diamond 0.41,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Ruby Royale 14K Rose Gold Ruby and Diamond Bow Ring, 1.61 TCW",2796.5,3995.0,14K Gold,Rose,"Baguette Ruby 1.28, Round Diamond 0.33,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Ruby Royale 14K Rose Gold Ruby and Diamond Ring, 3.78 TCW",5176.5,7395.0,14K Gold,Rose,"Baguette Ruby 2.51, Round Diamond 1.27,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Nature 14K Rose Gold Pink Sapphire & Diamond Butterfly Ring, 1.14 TCW",1995.0,2850.0,14K Gold,Rose,"Round Pink Sapphire 1.09, Round Diamond 0.05,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rings,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
