Description,Discount_Price,Price,Metal,Metal Color,Stones,Length,"18"" Chain Included. Pendant Length","16""-18"" Adjustable Chain Included. Pendant Length","16""-18"" Adjustable Chain. Pendant Length","16"" Chain Included. Palm Tree Length","18"" Chain Included. Pendant Diameter",Adjustable Length,"17"" Adjustable Chain Attached. Pendant Diameter","16"" Chain Included Pendant Size","16""-18"" Adjustable Chain. Drop Length","18"" Attached Chain. Pendant Length",Necklace Length,Information, Pendant Length,Gemstones,"16"" Chain Included. Pendant Length","18"" Chain Attached. Pendant Length","16"" Chain Attached. Drop Length","Attached 17.5"" Chain. Pendant Length","16"" Double Chain Included. Pendant Length","17"" Attached Chain. Adjustable down to 15"" in 1/2"" increments. Cross length","18"" Chain Included with 6 Diamond sections. Pendant Diameter",Chain Included. Pendant Length,Chain Included. Pendant Diameter,Chain Included. Pendant diameter,"18"" Chain Included. Pendant Size","16"" - 18"" Adjustable Chain. Pendant Length","16"" - 18"" Adjustable Chain. Pendant Size","16"" - 18"" Adjustable Chain Included. Pendant Length","GAL Certified. 16"" Chain Included. Pendant Length","16""-18"" Adjustable Chain. Panther","16"" Length Pendant Length","18"" Chain Included (Adjustable to 16""). Pendant Diameter","18""Chain Included. Pendant Length","20"" Chain Included Pendant Size","18"" Chain Included. Bee Size","18"" Chain Included Pendant Size","18"" Chain Included. Pendantl Length","18"" Chain Included. Pearl Size","18"" Necklace. Pearl Size","Adjustable 16""-18"" Chain. Pendant Length","16"" Chain Length. Pendant Diameter","18"" Necklace. Center Size","16"" Chain Inclueded. Pendant Length",Adjustable Chain,""" Panther Head","15""-18"" Adjustable Chain. Pendant Length", Buterfly height,"17.25"" Attached Chain. Diameter","16""-18"" Adjustable Chain. Snake Length", Bar Length,"18"" Necklace. Pearl Sizes","16""-18"" Adjustable Chain Included. Pendant Diameter","14"" - 18"" Adjustable Chain. Pendant Length","19"" Chain Included. Pendant Length", Pendant Drop,"17"" Attached Chain. Snake Length", Length,"18"" Necklace. Bar Length",Bracelet Length,"18"" Chain Included. Flower Diameter","20"" Chain Included. Pendant Length","16"" - 18"" Adjustable Chain.Butterfly Size","16""-18"" Adjustable Chain. Pendant Diameter","18"" Chain Included. Pendant Lenght","Adjustable 18"" Pull Chain. Evil Eye Length","18"" Chain Included. Heart Length","18"" Chain Included. Size of Heart","16"" - 18"" Adjustable Chain. Butterfly Size",Pearl Size, Necklace Length,"16""-18"" Adjustable Chain Included. Pendant Legnth","17"" Chain Included. Pendant Length","17"" Attached Chain. Pendant Length","4 Strand 18"" Necklace. Pearl Sizes",Pendant Length,"25"" Gemstone",Jewelry_Type,Sex
"Effy Splash Sterling Silver Multi Sapphire Oval Pendant, 3.30 TCW",665.0,950.0,Sterling Silver,N/A,Round Multi Sapphire 3.3,,"1.25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy 14K Yellow Gold Cultured Fresh Water Pearl and Diamond Pendant, 0.02 TCW",525.0,750.0,14K Gold,Yellow,"Round Pearl, Round Diamond 0.02,18"" Chain Included. 10mm Pearl.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Tanzanite Royale 14K White Gold Trillion Tanzanite and Diamond Necklace, 2.72",4697.5,9395.0,14K Gold,White,"Trillion Tanzanite 2.28, Round Diamond 0.44",,,,,,,,,,,,"16""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Seaside 14K White Gold Blue Sapphire and Diamond Anchor Pendant, 0.23 TCW",696.5,995.0,14K Gold,White,"Round Blue Sapphire 0.22, Round Diamond 0.01",,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Classique 14K White Gold Diamond Tassel Necklace, 3.71 TCW",13497.5,26995.0,14K Gold,White,Multi Shape Diamond 3.71,"18""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Seaside 14K White Gold Diamond Whale's Tail Pendant, 0.28 TCW",1326.5,1895.0,14K Gold,White,Round Diamond 0.28,,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Seaside 14K Rose Gold Diamond Whale's Tail Pendant, 0.05 TCW",495.0,895.0,14K Gold,Rose,Round Diamond 0.05,,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy 14K Rose Gold Amethyst and Diamond Necklace, 1.44 TCW",906.5,1295.0,14K Gold,Rose,"Pear Amethyst 1.4, Round Diamond 0.04,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Novelty 14K White Gold Diamond Initial Letter ""K"" Pendant, 0.21 TCW",1116.5,1595.0,14K Gold,White,Multi Shape Diamond 0.21,,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Novelty 14K White Gold Diamond Initial Letter ""C"" Pendant, 0.22 TCW",1116.5,1595.0,14K Gold,White,Multi Shape Diamond 0.22,,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Pave Classica 14K White Gold Diamond Necklace, 0.82 TCW",2446.5,3495.0,14K Gold,White,"Multi Shape Diamond 0.82,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Canare 18K Two-Tone Gold Yellow and White Diamond Pendant, 0.46 TCW",2796.5,3995.0,18K Gold,Yellow and White,"Multi Shape Yellow Diamond 0.46,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Tanzanite Royale 14K Gold Tanzanite Diamond Tennis Necklace, 13.51 TCW",34650.0,49500.0,14K Gold,White,"Pear Tanzanite 4.75, Round Diamond 8.76,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Watercolors 14K Gold Sapphire & Diamond Starfish Pendant, 0.53 TCW",1186.5,1695.0,14K Gold,Yellow,"Multi Shape Multi Sapphire 0.44, Round Diamond 0.09",,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy 14K White Gold Diamond Necklace, 9.46 TCW",37450.0,53500.0,14K Gold,White,"Round Diamond 9.46,16"" Length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy 14K Yellow Gold Cultured Pearl and Diamond Pendant, 0.15 TCW",906.5,1295.0,14K Gold,Yellow,"Round Pearl, Round Diamond 0.15",,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Ruby Royale 14K Rose Gold Ruby & Diamond Heart Pendant, 1.28 TCW",2026.5,2895.0,14K Gold,Rose,"Heart Ruby 1.04, Round Diamond 0.24",,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Nature 14K Yellow Gold Multi Color Diamond Butterfly Pendant, 2.70 TCW",6296.5,8995.0,14K Gold,Yellow,Round Diamond 2.7,,"1.13""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Signature 14K Rose Gold Diamond & Tsavorite Heart Pendant, 0.73 TCW",2936.5,4195.0,14K Gold,Rose,"Round Diamond 0.71, Round Tsavorite 0.02",,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy 925 Sterling Silver Diamond Cross Pendant, 0.24 TCW",332.5,475.0,Sterling Silver,N/A,Round Diamond 0.24,,"0.88""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Royale Bleu 14K Yellow Gold Sapphire and Diamond Pendant, 1.79 TCW",2167.5,4335.0,14K Gold,Yellow,"Round Blue Sapphire 1.66, Round Diamond 0.13",,"0.69""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Tanzanite Royale 14K White Gold Tanzanite & Diamond Pendant, 1.73 TCW",2796.5,3995.0,14K Gold,White,"Trillion Tanzanite 1.52, Round Diamond 0.21",,"0.94""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Aurora 14K Two Tone Gold Opal and Diamond Pendant, 1.49 TCW",1396.5,1995.0,14K Gold,Yellow and White,"Oval Opal 1.4, Round Diamond 0.09",,"0.88""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Aquarius 14K Two Tone Gold Aquamarine & Diamond Pendant, 2.68 TCW",1785.0,2550.0,14K Gold,Rose and White,"Pear Aquamarine 2.5, Round Diamond 0.18",,"0.88""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy 14K White Gold Diamond Pendant, 1.29 TCW",2997.5,5995.0,14K Gold,White,Round Diamond 1.29,,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Necklace, 0.65 TCW",2026.5,2895.0,14K Gold,Yellow,"Round Emerald 0.14, Round Diamond 0.51","16""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy 14K Yellow Gold Black Jade and Diamond Pendant, 4.18 TCW",1295.0,1850.0,14K Gold,Yellow,"Oval Black Jade 4, Round Diamond 0.18",,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Bouquet 14K Yellow Gold Diamond Cluster Pendant, 0.47 TCW",1396.5,1995.0,14K Gold,Yellow,Round Diamond 0.47,,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy 925 Sterling Silver & 18K Gold Diamond Accented Pendant, 0.04 TCW",472.5,675.0,Sterling Silver & 18K Gold,Yellow,Round Diamond 0.04,,"1 1/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Watercolors 14K White Gold Multi Gemstone & Diamond Pendant, 3.62 TCW",2376.5,3395.0,14K Gold,White,"Multi Shape Multi Color 3.38, Round Diamond 0.24",,,,,,,,,,,,,"18"" Chain Included",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Novelty 14K Gold Tsavorite & Diamond Palm Tree Pendant, 0.54 TCW",875.0,1250.0,14K Gold,Yellow,"Round Tsavorite 0.46, Round Cognac Diamond 0.08",,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Brasilica 14K Two Tone Gold Emerald and Diamond Pendant, 2.09 TCW",4165.0,5950.0,14K Gold,Yellow and White,"Emerald Cut Emerald 1.42, Multi Shape Diamond 0.67",,"7/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Novelty 14K Gold Blue & White Diamond Seahorse Pendant, 0.62 TCW",2446.5,3495.0,14K Gold,White,Round Diamond 0.62,,"7/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Novelty 14K Gold Blue & White Diamond Whale Tail Pendant, 0.50 TCW",2065.0,2950.0,14K Gold,White,Round Diamond 0.5,,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Novelty 14K White Gold Diamond Tree Necklace, 0.47 TCW",1536.5,2195.0,14K Gold,White,Round Diamond 0.47,"18""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Bouquet 14K Rose Gold Diamond Cluster Pendant, 0.47 TCW",1396.5,1995.0,14K Gold,Rose,Round Diamond 0.47,,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Safari 14K Yellow Gold Espresso & White Diamond Giraffe Pendant, 0.43 TCW",1536.5,2195.0,14K Gold,Yellow,"Round Diamond 0.43,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy 14K Yellow Gold Tanzanite and Diamond Necklace, 3.66 TCW",10496.5,14995.0,14K Gold,Yellow,"Trillion Tanzanite 2.85, Round Diamond 0.81,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy 925 Sterling Silver Blue Topaz Pendant, 5.33 TCW",437.5,625.0,Sterling Silver,N/A,"Cushion Blue Topaz 5.33,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Brasilica 14K Yellow Gold Emerald & Diamond Pendant, 1.62 TWC",2275.0,3250.0,14K Gold,Yellow,"Emerald Cut Emerald 1.42, Round Diamond 0.2,18"" Chain Included. Pendant 3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Pave Rose 14K Gold Diamond Cross Pendant, 0.22 TCW",836.5,1195.0,14K Gold,Rose,"Round Diamond 0.22,18"" Chain Included. Pendant 1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Novelty 14K White Gold Sapphire and Diamond Cross Pendant, 0.19 TCW",626.5,895.0,14K Gold,White,"Round Blue Sapphire 0.17, Round Diamond 0.02",,"7/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
Effy 14K Yellow Gold Pearl Tassel Necklace,525.0,750.0,14K Gold,Yellow,Pearl,"18""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Ruby Royale 14K Yellow Gold Genuine Ruby & Diamond Pendant, 2.24 TCW",2695.0,3850.0,14K Gold,Yellow,"Square Ruby 1.88, Round Diamond 0.36",,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy 925 Sterling Silver Multi Sapphire Parrot Pendant, 1.90 TCW",595.0,850.0,Sterling Silver,N/A,Round Multi Sapphire 1.9,,"1.25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Ruby Royale 14K Yellow Gold Ruby and Diamond Pendant, 0.49 TCW",836.5,1195.0,14K Gold,Yellow,"Round Ruby 0.43, Round Diamond 0.06",,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Brasilica 14K White Gold Emerald and Diamond Pendant, 0.41 TCW",836.5,1195.0,14K Gold,White,"Round Emerald 0.35, Round Diamond 0.06",,"1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Novelty 14K Yellow Gold Diamond Cross Necklace, 0.09 TCW",836.5,1195.0,14K Gold,Yellow,Round Diamond 0.09,"18""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Novelty 14K White Gold Tsavorite & Diamond Palm Tree Pendant, 0.29 TCW",805.0,1150.0,14K Gold,White,"Round Tsavorite 0.25, Round Diamond 0.04",,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Watercolors 14K Gold Sapphire & Diamond Starfish Pendant, 1.27 TCW",895.0,1650.0,14K Gold,Yellow,"Round Multi Sapphire 1.18, Round Diamond 0.09",,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy 14K Rose Gold Emerald Cut Tanzanite and Diamond Pendant, 1.56 TCW",2306.5,3295.0,14K Gold,Rose,"Emerald Cut Tanzanite 1.33, Round Diamond 0.23",,"0.75""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Watercolors 14K 2-Tone Gold Sapphire and Diamond Necklace, 7.73 TCW",10496.5,14995.0,14K Gold,Yellow and White,"Multi Shape Multi Sapphire 5.79, Round Diamond 1.94","18""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Watercolors 14K White Gold Multi Sapphire & Diamond Pendant, 2.21 TCW",2586.5,3695.0,14K Gold,White,"Square Multi Sapphire 1.85, Round Diamond 0.36",,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Pave Classica 14K White Gold Diamond Criss Cross Necklace, 0.19 TCW",1015.0,1450.0,14K Gold,White,Round Diamond 0.19,"18""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Seaside Sterling Silver Multi Gemstone Starfish Pendant, 4.50 TCW",556.5,795.0,Sterling Silver & 18K Gold,Yellow,Multi Shape Multi Color 4.5,,,,,,,,,,,,,"18"" Chain Included",,"Amethyst, Blue Topaz, Citrine, Rhodolite, Peridot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
Effy Watercolors 14K Yellow Gold Multi Sapphire and Diamond Necklace,18550.0,26500.0,14K Gold,Yellow,"Oval Multi Sapphire 33.35, Round Diamond 0.54","16.75""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy 14K White Gold Aquamarine and Diamond Pendant, 2.52 TCW",1247.5,2495.0,14K Gold,White,"Cushion Aquamarine 2.23, Round Diamond 0.29",,,,,,,,,,,,,,,,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Aurora 14K Yellow Gold Opal and Diamond Pendant, 1.24 TCW",1995.0,2850.0,14K Gold,Yellow,"Oval Opal 1, Round Diamond 0.24",,"1.25""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Gemma 14K Two Tone Gold Tanzanite and Diamond Pendant, 0.87 TCW",2096.5,2995.0,14K Gold,Yellow and White,"Oval Tanzanite 0.66, Round Diamond 0.21",,"1.13""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Gemma 14K Yellow Gold Tanzanite and Diamond Pendant, 1.57 TCW",2870.0,4100.0,14K Gold,Yellow,"Oval Tanzanite 1.14, Round Diamond 0.43",,"1.38""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Novelty Sterling Silver Blue Sapphire Mix Charm Pendant, 0.45 TCW",402.5,575.0,Sterling Silver,N/A,Round Blue Sapphire 0.45,,"7/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Novelty Sterling Silver Diamond and Blue Sapphire Frog Pendant, 0.18 TCW",486.5,695.0,Sterling Silver,N/A,"Round Diamond 0.16, Round Blue Sapphire 0.02",,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Signature 14K Rose Gold Diamond and Emerald Pendant, 0.44 TCW",2376.5,3395.0,14K Gold,Rose,"Round Diamond 0.43, Round Emerald 0.01",,"1.4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
Effy Nature 14K Yellow Gold Cognac and White Diamond Butterfly Pendant,1396.5,1995.0,14K Gold,Yellow,Round Diamond 0.38,,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Bordeaux 14K Rose Gold Rhodolite Garnet and Diamond Pendant, 2.94 TCW",1295.0,1850.0,14K Gold,Rose,"Cushion Garnet 2.79, Round Diamond 0.15",,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Bella Bleu 14K White Gold Blue and White Diamond Pendant, 0.86 TCW",2415.0,3450.0,14K Gold,White,Round Diamond 0.86,,"1.13""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Watercolors 14K White Gold Multi Sapphire & Diamond Pendant, 3.96 TCW",2625.0,3750.0,14K Gold,White,"Multi Shape Multi Sapphire 3.61, Round Diamond 0.35",,"1.38""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Brasilica 14K Yellow Gold Emerald & Diamond Filigree Pendant, 1.62 TCW",3356.5,4795.0,14K Gold,Yellow,"Emerald Cut Emerald 1.42, Round Diamond 0.2",,"1.5""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
Effy Seaside 14K White Gold Sapphire and Diamond Whale's Tail Pendant,1715.0,2450.0,14K Gold,White,"Round Blue Sapphire 0.63, Round Diamond 0.2",,,,,,"7/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Gemma 14K White Gold Trillion Tanzanite and Diamond Pendant, 1.71 TCW",2765.0,3950.0,14K Gold,White,"Trillion Tanzanite 1.52, Round Diamond 0.19",,"3/4""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
"Effy Novelty 14K White Gold Diamond Anchor Pendant, 0.15 TCW",695.0,,14K Gold,White,Round Diamond 0.15,,,,,,,,,,,,,,,,,"5/8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace and Pendant,Women
